"ScenarioID","Scenario","n_reps","n_valid_gain_reps","recurrent_cycle_time_years","se_parent_index_gain_per_cycle","mean_parent_index_gain_per_cycle","se_parent_index_gain_per_year","mean_parent_index_gain_per_year","mean_cumulative_parent_index_gain","mean_n_released_hybrids","mean_final_year"
1,"baseline_800_met12_ayt12",100,100,2,0.0199934340267814,0.371524398100843,0.0099967170133907,0.185762199050421,1.48609759240337,59.04,15.3333333333333
2,"fast_partner_data_800_met6_ayt6",100,100,2,0.0208217388903606,0.357661754090391,0.0104108694451803,0.178830877045195,1.43064701636156,58.66,14.3333333333333
3,"larger_training_900_met12_ayt12",100,100,2,0.0184846385407513,0.336245475969207,0.00924231927037563,0.168122737984603,1.34498190387683,59.04,15.3333333333333
4,"fewer_crosses_5_train800_met12_ayt12",100,100,2,0.016059007169231,0.328806544023237,0.0080295035846155,0.164403272011619,1.31522617609295,59.02,15.3333333333333
5,"higher_capacity_1000_cap250_met12_ayt12",100,100,2,0.0196487260363241,0.384727702682988,0.00982436301816204,0.192363851341494,1.53891081073195,59.11,15.3333333333333
